Id,Name,Hp,Attack,AttackRange,ChaseRange,MoveSpeed,AttackCooldown,SkillFirstCooldown,SkillSecondCooldown,SkillThirdCooldown,SkillFoutthCooldown,DropTable
1000,슬라임,50,5,1,5,2,3,0,0,0,0,140001|140002|140103
1001,거대 쥐,50,5,1,5,4,2,0,0,0,0,140004|140005|140106
1002,거대 박쥐,50,5,1,5,5,2,0,0,0,0,140019|140020|140121
1003,거대 거미,60,5,1,5,5,3,0,0,0,0,140022|140023|140124
1004,고블린,50,7,1,5,3,2,0,0,0,0,140007|140008|140109
1005,오크,120,10,1,5,2,3,0,0,0,0,140013|140014|140115
1006,고블린 스나이퍼,75,10,5,8,2,5,0,0,0,0,140010|140011|140112
1107,트롤,200,25,3,6,1.5,4,0,0,0,0,140016|140017|140118
1108,엘리트 오크,300,100,2,5,3,3,0,0,0,0,140013|140014|140115
1109,벨루스,300,25,2,8,0,2,10,3,10,0,140025|140026|140127|140128
1110,말루스,280,30,2,8,0,2,4,20,0,0,140025|140026|140127|140128
1111,미노타우르스,600,35,2.5,15,5,3,6,10,5,0,140029|140030|140131|140132
1112,밴시,400,30,2.5,15,4,2,7,2,10,10,140037|140038|140139|140140
1113,호박인간,300,50,4,15,8,3,0,0,0,0,140033|140034|140135|140136
